row_id,order_id,customer_id,order_date,delivery_date,status,payment_method,currency,price,quantity,total_amount,channel
2211,ORD102211,C79689,2025-08-04,2025-08-05,delivered,paypal,EUR,47.42,4.0,189.68,web
2136,ORD102136,C59002,2025-08-25,2025-08-31,delivered,credit_card,EUR,39.94,3.0,119.82,app
1178,ORD101178,C33324,2025-01-28,2025-02-04,delivered,credit_card,EUR,29.06,,116.24,web
1910,ORD101910,C16688,2024-03-29,2024-04-05,delivered,paypal,EUR,47.86,4.0,191.44,web
649,ORD100649,C86369,2024-03-20,2024-03-26,delivered,credit_card,EUR,9.31,5.0,46.55,web
2095,ORD102095,C80032,2024-02-01,2024-02-07,processing,credit_card,EUR,40.56,1.0,40.56,partner
1357,ORD101357,C22092,2024-01-14,2024-01-22,,cash,USD,19.6,4.0,78.4,web
178,ORD100178,C91055,2025-02-27,2025-03-07,shipped,credit_card,USD,,1.0,24.73,app
1379,ORD101379,C58676,2024-02-01,2024-02-06,delivered,credit_card,EUR,14.84,5.0,74.2,web
2069,ORD102069,C47736,2024-05-29,2024-06-04,delivered,paypal,EUR,15.15,1.0,15.15,web
2230,ORD102230,C66938,2025-11-02,2025-11-03,done,credit_card,EUR,14.9,2.0,29.8,web
2534,ORD101188,C60986,2025-12-07,2025-12-11,shipped,paypal,EUR,30.72,2.0,61.44,web
1241,ORD101241,C79960,2024-08-09,2024-08-16,delivered,credit_card,EUR,36.93,5.0,184.65,web
1068,ORD101068,C40026,2025-07-06,2025-07-08,cancelled,credit_card,EUR,44.48,2.0,88.96,web
2091,ORD102091,C39388,2024-01-29,2024-02-06,delivered,credit_card,EUR,12.85,1.0,12.85,app
807,ORD100807,C19952,2024-04-08,2024-04-09,delivered,paypal,EUR,56.72,4.0,226.88,web
2322,ORD102322,C40427,2025-10-26,2025-10-28,shipped,credit_card,EUR,31.07,4.0,124.28,web
940,ORD100940,C72178,2025-11-23,2025-11-30,delivered,paypal,EUR,28.98,5.0,144.9,web
2319,ORD102319,C79715,2025-11-12,2025-11-20,delivered,credit_card,USD,15.9,4.0,63.6,app
1575,ORD101575,C38655,2024-01-17,2024-01-19,delivered,paypal,EUR,36.06,0.0,180.3,web
2196,ORD102196,C36163,2024-02-25,2024-02-28,delivered,credit_card,EUR,35.45,2.0,70.9,web
436,ORD100436,C61054,2025-07-15,2025-07-24,delivered,paypal,EUR,20.06,2.0,40.12,app
508,ORD100508,C34182,2025-04-04,2025-04-10,delivered,paypal,USD,20.71,5.0,103.55,web
445,ORD100445,C69657,2024-03-19,2024-03-26,,credit_card,EUR,34.91,4.0,139.64,web
509,ORD100509,C31299,2025-08-16,2025-08-20,shipped,credit_card,EUR,6.96,2.0,13.92,web
318,ORD100318,C94487,2024-04-03,2024-04-04,delivered,credit_card,USD,28.93,2.0,57.86,web
2043,ORD102043,C77464,2025-03-23,2025-03-27,delivered,credit_card,EUR,35.22,2.0,70.44,app
1429,ORD101429,C80882,2025-06-24,2025-07-02,processing,credit_card,EUR,24.5,2.0,49.0,web
1436,ORD101436,C48442,2025-01-17,2025-01-23,delivered,credit_card,EUR,34.93,5.0,174.65,web
907,ORD100907,C25581,2025-04-11,2025-04-13,delivered,paypal,EUR,31.51,5.0,157.55,web
582,ORD100582,C19606,2024-07-21,2024-07-30,shipped,credit_card,EUR,12.01,4.0,48.04,web
2397,ORD102397,C36017,2025-03-02,2025-03-11,delivered,credit_card,EUR,30.1,3.0,90.3,app
44,ORD100044,C16112,2025-08-11,2025-08-20,delivered,credit_card,EUR,31.78,2.0,63.56,web
952,ORD100952,C65322,2024-11-26,2024-12-05,delivered,credit_card,EUR,53.39,5.0,266.95,web
2318,ORD102318,C86563,2025-01-25,2025-02-01,delivered,credit_card,EUR,24.68,2.0,49.36,app
73,ORD100073,C21692,2024-10-13,2024-10-15,cancelled,credit_card,EUR,12.67,4.0,50.68,app
194,ORD100194,C96371,2025-11-14,2025-11-22,cancelled,cash,EUR,51.29,1.0,51.29,web
530,ORD100530,C63869,2025-06-19,2025-06-27,shipped,credit_card,EUR,26.56,3.0,79.68,app
613,ORD100613,C44657,2025-11-10,2025-11-11,shipped,paypal,EUR,79.62,5.0,398.1,app
1563,ORD101563,C92690,2025-01-11,2025-01-20,delivered,cash,EUR,46.76,1.0,46.76,app
1421,ORD101421,C99522,2025-03-25,2025-03-31,cancelled,card,EUR,6.6,4.0,26.4,app
965,ORD100965,C62946,2025-07-02,2025-07-06,shipped,credit_card,EUR,73.58,3.0,220.74,partner
2222,ORD102222,C12376,2025-11-21,2025-11-29,delivered,crypto,EUR,17.06,3.0,51.18,app
1647,ORD101647,C69725,2025-09-17,2025-09-25,shipped,credit_card,EUR,11.21,2.0,22.42,web
56,ORD100056,C59190,2025-08-06,2025-08-13,delivered,credit_card,EUR,138.71,3.0,416.13,web
2272,ORD102272,C36727,2024-05-09,2024-05-10,delivered,credit_card,EUR,39.89,1.0,39.89,web
367,ORD100367,C38433,2024-04-25,2024-05-01,delivered,paypal,EUR,18.12,2.0,36.24,app
1123,ORD101123,C31929,2024-11-18,2024-11-24,cancelled,credit_card,EUR,32.15,1.0,32.15,web
839,ORD100839,C91956,2025-09-26,2025-10-03,delivered,credit_card,EUR,37.07,1.0,37.07,web
1914,ORD101914,C39556,2024-12-24,2025-01-01,delivered,paypal,USD,30.91,2.0,61.82,web
1865,ORD101865,C46436,2025-09-04,2025-09-09,delivered,credit_card,EUR,53.59,4.0,214.36,app
1091,ORD101091,C50341,2024-08-03,2024-08-12,delivered,credit_card,EUR,-10.0,2.0,66.4,web
1562,ORD101562,C32362,2025-04-07,2025-04-14,delivered,credit_card,EUR,13.42,5.0,67.1,web
527,ORD100527,C22948,2025-06-30,2025-07-05,cancelled,credit_card,EUR,24.73,1.0,24.73,web
420,ORD100420,C93474,2024-08-26,2024-08-29,processing,credit_card,EUR,29.83,2.0,59.66,web
289,ORD100289,C52613,2025-09-02,2025-09-10,delivered,paypal,EUR,19.99,4.0,79.96,web
772,ORD100772,C10440,2025-04-22,2025-04-25,shipped,credit_card,USD,15.68,3.0,47.04,web
1874,ORD101874,C46762,2024-08-09,2024-08-16,delivered,credit_card,EUR,7.12,2.0,14.24,web
964,ORD100964,C95421,2024-09-20,2024-09-25,shipped,paypal,EUR,95.59,3.0,286.77,app
1724,ORD101724,C58054,2025-07-25,2025-07-31,delivered,credit_card,EUR,23.29,4.0,93.16,web
1330,ORD101330,C50485,2025-10-17,2025-10-19,delivered,credit_card,EUR,63.83,5.0,319.15,web
1023,ORD101023,C85778,2024-05-03,2024-05-09,delivered,cash,EUR,31.06,4.0,124.24,app
407,ORD100407,C22950,2025-11-24,2025-12-02,delivered,credit_card,USD,27.04,3.0,81.12,app
620,ORD100620,C49025,2025-03-31,2025-04-03,delivered,credit_card,EUR,44.47,3.0,133.41,app
1557,ORD101557,C79563,2025-01-22,2025-01-25,processing,credit_card,USD,25.31,5.0,126.55,app
2266,ORD102266,C71504,2025-02-21,2025-02-22,shipped,credit_card,EUR,66.33,1.0,66.33,web
1513,ORD101513,C39765,2024-12-23,2024-12-28,delivered,paypal,EUR,28.09,2.0,56.18,app
354,ORD100354,C97242,2025-06-13,2025-06-18,shipped,cash,EUR,44.7,4.0,178.8,app
246,ORD100246,C78173,2024-06-13,2024-06-14,delivered,credit_card,EUR,21.04,5.0,105.2,app
70,ORD100070,C81610,2025-08-09,2025-08-14,delivered,credit_card,EUR,39.63,5.0,198.15,web
387,ORD100387,C84799,2024-02-16,2024-02-23,processing,credit_card,EUR,56.59,3.0,169.77,web
1511,ORD101511,C30542,2025-10-09,2025-10-16,delivered,card,EUR,26.37,1.0,26.37,app
239,ORD100239,C66457,2024-09-08,2024-09-15,delivered,credit_card,EUR,12.87,2.0,25.74,web
2556,ORD101222,C96536,2025-07-02,2025-07-04,cancelled,credit_card,EUR,72.23,4.0,288.92,app
1905,ORD101905,C32031,2025-10-16,2025-10-21,delivered,paypal,EUR,27.99,2.0,55.98,web
188,ORD100188,C31488,2025-04-11,2025-04-16,delivered,cash,EUR,102.59,2.0,205.18,web
836,ORD100836,C82750,2025-01-17,2025-01-24,delivered,cash,USD,46.16,5.0,230.8,app
1622,ORD101622,C93174,2025-12-21,2025-12-23,cancelled,credit_card,USD,14.98,4.0,59.92,app
1210,ORD101210,C66102,2024-09-20,2024-09-29,cancelled,credit_card,EUR,30.38,1.0,30.38,app
1207,ORD101207,C74861,2025-07-06,2025-07-07,shipped,credit_card,EUR,54.64,5.0,273.2,app
1186,ORD101186,C22816,2024-03-18,2024-03-26,delivered,paypal,EUR,66.52,3.0,199.56,web
528,ORD100528,C92373,2024-06-13,2024-06-14,shipped,cash,USD,16.99,4.0,67.96,web
1807,ORD101807,C53333,2025-08-07,2025-08-16,delivered,cash,USD,-1.0,3.0,119.31,web
2325,ORD102325,C84080,2024-10-31,2024-11-07,delivered,credit_card,EUR,36.39,2.0,72.78,web
1867,ORD101867,C78400,2024-04-13,2024-04-20,delivered,credit_card,USD,28.12,5.0,140.6,partner
544,ORD100544,C84788,2024-05-18,2024-05-21,shipped,credit_card,USD,52.64,4.0,210.56,web
1940,ORD101940,C24795,2024-08-26,2024-09-03,delivered,paypal,EUR,24.94,5.0,124.7,web
43,ORD100043,C41906,2024-10-05,2024-10-08,delivered,credit_card,USD,12.84,1.0,12.84,app
450,ORD100450,C96424,2024-01-24,2024-01-31,delivered,credit_card,EUR,32.48,5.0,162.4,web
786,ORD100786,C12914,2024-04-05,2024-04-14,shipped,cash,EUR,18.87,3.0,56.61,web
1189,ORD101189,C10658,2024-05-02,2024-05-09,delivered,paypal,USD,31.48,4.0,125.92,web
1539,ORD101539,C65812,2024-09-30,2024-10-01,cancelled,paypal,EUR,17.26,1.0,17.26,app
1677,ORD101677,C47734,2025-06-07,2025-06-15,processing,cash,EUR,42.66,2.0,85.32,app
802,ORD100802,C56399,2025-03-15,2025-03-18,x_cancel,paypal,EUR,20.89,1.0,20.89,app
2470,ORD102470,C90309,2025-09-17,2025-09-18,shipped,credit_card,EUR,39.18,0.0,78.36,web
1237,ORD101237,C21148,2025-01-21,2025-01-23,shipped,paypal,EUR,23.77,2.0,47.54,web
1590,ORD101590,C76229,2025-06-22,2025-07-01,delivered,credit_card,EUR,11.19,1.0,11.19,partner
1362,ORD101362,C41577,2024-06-30,2024-07-09,shipped,credit_card,USD,13.9,4.0,55.6,app
1486,ORD101486,C24631,2024-08-14,2024-08-15,delivered,credit_card,EUR,36.53,5.0,182.65,web
2077,ORD102077,C49604,2024-05-26,2024-05-30,delivered,cash,EUR,17.21,5.0,86.05,app
2346,ORD102346,C39455,2025-09-04,2025-09-07,delivered,credit_card,USD,20.37,2.0,40.74,app
1533,ORD101533,C26948,2024-07-23,2024-07-26,delivered,credit_card,USD,36.54,3.0,109.62,web
2385,ORD102385,C88756,2024-05-27,2024-05-28,cancelled,paypal,USD,11.84,3.0,35.52,app
856,ORD100856,C32039,2024-02-11,2024-02-17,delivered,credit_card,EUR,67.84,4.0,271.36,web
1253,ORD101253,C81430,2024-07-15,2024-07-22,shipped,credit_card,USD,19.37,2.0,38.74,app
