model,accuracy,precision,recall,f1,roc_auc,fit_sec,acc_train
Stacking,0.625,0.5178571428571429,0.56640625,0.5410447761194029,0.68244140625,1.9272198677062988,0.9977099236641221
Stacking_v2,0.6189024390243902,0.5111940298507462,0.53515625,0.5229007633587787,0.6529003906249999,1.6459038257598877,0.9377862595419847
SVM,0.6219512195121951,0.5158730158730159,0.5078125,0.5118110236220472,0.6439746093749998,0.6558430194854736,0.7538167938931297
DecisionTree,0.5945121951219512,0.4796747967479675,0.4609375,0.4701195219123506,0.57046875,0.04062795639038086,1.0
LogisticRegression,0.524390243902439,0.4146341463414634,0.53125,0.4657534246575342,0.5474316406249999,0.010481119155883789,0.5206106870229008
XGBoost,0.6402439024390244,0.5588235294117647,0.37109375,0.4460093896713615,0.634033203125,0.2413468360900879,0.966030534351145
Bagging,0.663109756097561,0.6258992805755396,0.33984375,0.44050632911392407,0.6477294921875,0.3629879951477051,1.0
RandomForest,0.6509146341463414,0.5894039735099338,0.34765625,0.43734643734643736,0.661982421875,0.15072202682495117,0.9209923664122137
GradientBoosting,0.6539634146341463,0.6141732283464567,0.3046875,0.4073107049608355,0.65580078125,1.2565319538116455,0.8015267175572519
AdaBoost,0.6204268292682927,0.6060606060606061,0.078125,0.1384083044982699,0.586337890625,0.5560512542724609,0.6278625954198473
